1014123;Adriana;Granda;3296754;Cll 30 # 3-12;agranda@hotmail.com;1014123;123;2009-12-07 22:00:00;0000-00-00 00:00:00;2
1020196;Marco;Alvarez;34566;av Pobado # 3-21;mealvarep@gmail.com;1014124;124;2009-10-05 19:06:45;0000-00-00 00:00:00;1
1112234;Julian;Herrera;5409876;calle 10-15;Julianh@yahoo.es;1014125;125;2009-10-05 19:06:45;0000-00-00 00:00:00;2
1024394;Pedro;Sanchez;3398734;Cll 45 # 5 -32;jsanchez@gmail.com;1014126;126;2009-12-07 21:56:00;0000-00-00 00:00:00;2
1239080;Jairo;Ramirez;3328976;cll4 #12 - 6;Jairor@hoymail;1014127;127;2009-12-03 17:33:00;0000-00-00 00:00:00;2
1216453;Mauricio;Arango;2430989;AV las Vegas # 10-3;marango@hotmail.com;1014128;128;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216454;usuario1;apellido1;1533002;cll4 #12 - 7;jsanchez@gmail.com;1014129;129;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216455;usuario2;apellido2;635015;AV las Vegas # 10-4;Jairor@hoymail;1014130;130;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216456;usuario3;apellido3;262972;cll4 #12 - 8;marango@hotmail.com;1014131;131;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216457;usuario4;apellido4;1160959;AV las Vegas # 10-5;jsanchez@gmail.com;1014132;132;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216458;usuario5;apellido5;2058946;cll4 #12 - 9;Jairor@hoymail;1014133;133;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216459;usuario6;apellido6;2956933;AV las Vegas # 10-6;marango@hotmail.com;1014134;134;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216460;usuario7;apellido7;3854920;cll4 #12 - 10;jsanchez@gmail.com;1014135;135;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216461;usuario8;apellido8;4752907;AV las Vegas # 10-7;Jairor@hoymail;1014136;136;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216462;usuario9;apellido9;5650894;cll4 #12 - 11;marango@hotmail.com;1014137;137;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216463;usuario10;apellido10;6548881;AV las Vegas # 10-8;jsanchez@gmail.com;1014138;138;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216464;usuario11;apellido11;7446868;cll4 #12 - 12;Jairor@hoymail;1014139;139;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216465;usuario12;apellido12;8344855;AV las Vegas # 10-9;marango@hotmail.com;1014140;140;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216466;usuario13;apellido13;9242842;cll4 #12 - 13;jsanchez@gmail.com;1014141;141;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216467;usuario14;apellido14;10140829;AV las Vegas # 10-10;Jairor@hoymail;1014142;142;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216468;usuario15;apellido15;11038816;cll4 #12 - 14;marango@hotmail.com;1014143;143;2009-12-07 21:57:00;0000-00-00 00:00:00;2
1216469;usuario16;apellido16;11936803;AV las Vegas # 10-11;jsanchez@gmail.com;1014144;144;2009-12-07 21:57:00;0000-00-00 00:00:00;2
